LSOACode,MY2018AllPopulation
E01008212,1370
E01008213,1514
E01008216,1597
E01008228,1184
E01008206,1707
E01008207,1334
E01008208,1701
E01008211,1758
E01008283,1217
E01008284,1416
E01008286,1454
E01008287,2079
E01008231,1542
E01008240,1483
E01008241,1622
E01008242,1625
E01008281,1519
E01008282,1423
E01008219,1578
E01008235,1335
E01008236,1436
E01008237,1542
E01008238,1541
E01008267,1495
E01008269,1487
E01008270,1281
E01008271,1359
E01008275,1429
E01008229,1288
E01008230,1455
E01008232,1366
E01008233,1207
E01008285,1392
E01008256,1695
E01008260,1552
E01008261,1462
E01008268,1477
E01008272,1351
E01008273,1414
E01008274,1350
E01008193,1252
E01008194,1363
E01008234,2181
E01008239,1491
E01008218,1646
E01008220,1237
E01008221,1745
E01008225,1611
E01008227,1688
E01008184,1325
E01008185,1355
E01008188,1404
E01008278,1413
E01008189,1256
E01008190,1329
E01008191,1452
E01008192,1424
E01008217,1549
E01008183,1488
E01008186,1904
E01008187,1629
E01008196,1946
E01008222,1545
E01008223,1918
E01008224,2655
E01008226,1725
E01008172,1648
E01008173,1543
E01008174,2128
E01008175,1372
E01008176,1428
E01008162,2837
E01008164,1543
E01008166,2196
E01008168,2974
E01008163,2265
E01008203,1769
E01008205,1531
E08000021,300196
E01008294,1440
E01008306,1736
E01008307,1009
E01008308,3898
E01008311,2122
E01008312,1228
E01008313,1185
E01008309,1721
E01008352,1481
E01008357,1520
E01008358,1558
E01033550,2069
E01033551,1777
E01008336,1360
E01008337,1348
E01008338,1204
E01008339,1661
E01008340,1506
E01008341,1290
E01008342,1329
E01008293,1349
E01008456,1455
E01008457,1608
E01008458,1651
E01008459,1874
E01008460,1452
E01008351,1378
E01008354,1648
E01008418,2017
E01008420,1293
E01008422,1649
E01008424,1723
E01008353,1527
E01008355,1548
E01008356,1451
E01008378,1437
E01008419,1476
E01008421,1516
E01008423,1313
E01008317,1503
E01008319,1759
E01008320,1476
E01008321,1776
E01008322,1477
E01008323,1522
E01008295,1594
E01008374,1512
E01008375,1533
E01008376,1117
E01008377,2369
E01008379,1583
E01008380,1748
E01008296,1330
E01008297,1677
E01008298,1531
E01008299,1332
E01008314,1142
E01008315,1490
E01008316,1575
E01008318,1354
E01008363,1578
E01008365,1584
E01008366,2074
E01008369,1933
E01008371,1404
E01008372,1886
E01008373,2343
E01008400,1573
E01008401,1511
E01008402,1393
E01008403,1442
E01008404,1608
E01008405,1428
E01008443,1340
E01008324,1799
E01008325,1386
E01008326,1436
E01008327,1268
E01008328,1153
E01008329,1547
E01008330,1314
E01008300,1652
E01008450,1664
E01008451,1749
E01008452,1457
E01008367,2221
E01008368,1617
E01008370,1821
E01008409,1689
E01008411,1828
E01008303,1827
E01008359,1605
E01008360,1598
E01008361,1676
E01008362,1867
E01008364,1757
E01008343,1592
E01008344,1536
E01008345,1502
E01008346,1818
E01008347,1497
E01008348,1155
E01008349,1755
E01008350,1505
E01008430,1255
E01008431,1363
E01008433,1314
E01008434,1444
E01008435,1544
E01008436,1457
E01008381,1465
E01008382,1314
E01008383,1411
E01008384,1377
E01008385,1305
E01008386,1251
E01008387,1351
E01008396,2632
E01008398,1833
E01008449,2023
E01008453,1772
E01008455,1766
E01033556,3805
E01008406,3876
E01008407,4367
E01008410,2263
E01008412,1781
E01008413,1569
E01033548,1693
E01033553,4319
E01008394,802
E01008395,1893
E01008397,3992
E01008399,1906
E01008439,1824
E01033543,2296
E01033545,2068
E01033554,5074
E01008415,1205
E01008416,1577
E01033547,2411
E01008301,1732
E01008302,1495
E01008304,2156
E01008305,2475
E01008391,1497
E01008392,1524
E01008432,1338
E01008288,1341
E01008289,1642
E01008290,1593
E01008291,2391
E01008292,1335
E01008388,1845
E01008389,1745
E01008426,1662
E01008429,1449
E01008331,1859
E01008332,2795
E01008333,1859
E01008334,2211
E01008335,2292
E01008437,1369
E01008438,1926
E01008390,1956
E01008425,1633
E01008427,1126
E01008428,1403
E01008441,1680
E01008442,1310
E01008444,1432
E01008445,1958
E01008446,1356
E01008447,1255
E01008448,1363
E08000022,205985
E01008547,1395
E01008548,1557
E01008549,1552
E01008551,1470
E01008478,1565
E01008480,1495
E01008504,1551
E01008578,1314
E01008583,1461
E01008520,1457
E01008523,1329
E01008546,1580
E01008550,1642
E01008577,1688
E01008579,1371
E01008580,1377
E01008581,1783
E01008582,1456
E01008517,1588
E01008519,1320
E01008521,1441
E01008522,1580
E01008584,1636
E01008585,1575
E01008587,1329
E01008588,1616
E01008589,1491
E01008518,1586
E01008564,1396
E01008565,2872
E01008567,1476
E01008475,1616
E01008476,1718
E01008477,1721
E01008479,1540
E01008552,1625
E01008553,1822
E01008554,1610
E01008555,1656
E01008586,1537
E01008495,1799
E01008496,1481
E01008497,1470
E01008498,1446
E01008568,1413
E01008569,1502
E01008570,1267
E01032647,2414
E01032648,1497
E01008500,1511
E01008505,1748
E01008506,1389
E01008507,1604
E01008493,1483
E01008494,1590
E01008556,2074
E01008557,1631
E01008470,1321
E01008499,1629
E01008502,1548
E01008516,1475
E01008488,1448
E01008489,1860
E01008490,1535
E01008491,1584
E01008558,1534
E01008560,1603
E01008561,1629
E01008562,1487
E01008525,1500
E01008527,1471
E01008559,1499
E01008563,1461
E01008469,1636
E01008472,1432
E01008473,1261
E01008501,2418
E01008503,2171
E01008471,1621
E01008474,1453
E01008513,2463
E01008514,1838
E01032649,1143
E01032650,1058
E01008486,1358
E01008487,1456
E01008526,1397
E01008530,1625
E01008461,1367
E01008466,1252
E01008467,1469
E01008468,1395
E01008483,1444
E01008524,1798
E01008528,1359
E01008529,1551
E01008481,1495
E01008482,1698
E01008484,1421
E01008485,1523
E01008492,1740
E01008462,1445
E01008463,1279
E01008464,1302
E01008465,1382
E01008531,1369
E01008532,1593
E01008534,1347
E01008538,1446
E01008508,1617
E01008509,1666
E01008510,1540
E01008512,1581
E01008539,1446
E01008540,1757
E01008541,1544
E01008544,1636
E01008545,1306
E01008511,1624
E01008542,1636
E01008543,2535
E01008571,1905
E01008572,1724
E01008573,1786
E01008574,1992
E01008576,2041
E01008533,1466
E01008535,1564
E01008536,1409
E01008537,1203
E01008575,1305
E08000023,150265
E01008595,1539
E01008596,1450
E01008597,2526
E01008598,1534
E01008599,1421
E01008664,1603
E01008665,1398
E01008666,1810
E01008667,1644
E01008668,1666
E01008673,1170
E01008675,1350
E01008676,1306
E01008677,1335
E01008678,1294
E01008647,1435
E01008648,1288
E01008649,1675
E01008651,2164
E01008679,1250
E01008680,1412
E01008682,1260
E01008683,1437
E01008635,1358
E01008650,1339
E01008674,1267
E01008681,1401
E01008600,1328
E01008604,1754
E01008660,1359
E01008661,1088
E01008633,1416
E01008634,1327
E01008636,1431
E01008637,1402
E01008639,2441
E01008652,1075
E01008653,1201
E01008654,1167
E01008655,1544
E01008657,1302
E01008638,1280
E01008640,2455
E01008641,1150
E01008642,1287
E01008590,1420
E01008591,1322
E01008592,1312
E01008594,1849
E01008601,1585
E01008669,1488
E01008671,1165
E01008672,1352
E01008622,1734
E01008625,1438
E01033074,2830
E01008602,1450
E01008603,1312
E01008608,1186
E01008670,1471
E01008643,1658
E01008644,1548
E01008645,2087
E01008646,1321
E01008656,1354
E01008658,1413
E01008593,1295
E01008605,1176
E01008606,1779
E01008607,1493
E01008609,1471
E01008631,1299
E01008632,1193
E01008659,1480
E01008662,1217
E01008663,1429
E01008624,1348
E01008684,1106
E01008685,1852
E01008686,1687
E01008687,1809
E01008688,1366
E01008689,1519
E01008690,1322
E01008691,1176
E01008692,1443
E01008627,1210
E01008628,1417
E01008629,1399
E01008630,1429
E01008610,1447
E01008611,1402
E01008612,1494
E01008613,1524
E01008616,1503
E01008618,1232
E01008619,1611
E01008621,1400
E01008614,1789
E01008615,1420
E01008617,1477
E01008620,1417
E08000024,277417
E01008713,1551
E01008722,1434
E01008724,1106
E01008726,1402
E01008723,1414
E01008725,1324
E01008727,1444
E01008728,1309
E01008792,1322
E01008698,1524
E01008837,1271
E01008838,1584
E01008839,1308
E01008840,1411
E01008841,1321
E01008712,1716
E01008817,1251
E01008819,1416
E01008821,1505
E01008822,1524
E01008842,1362
E01008708,1452
E01008709,1312
E01008711,1455
E01008820,1035
E01033075,2248
E01008786,1564
E01008787,1614
E01008788,1546
E01008789,1267
E01008790,1447
E01008791,2160
E01008855,1408
E01008856,1356
E01008876,1486
E01008877,1581
E01008693,1333
E01008694,1398
E01008695,1491
E01008696,1242
E01008697,1416
E01008699,1365
E01008853,1349
E01008854,1492
E01008857,1369
E01008858,1275
E01008859,1412
E01008860,1336
E01008878,1505
E01008873,1261
E01008874,1761
E01008875,1477
E01008879,1322
E01008880,1106
E01008701,2079
E01008704,1523
E01008706,1704
E01008707,1494
E01008756,1479
E01008762,1674
E01008812,1624
E01033076,2066
E01008700,1669
E01008703,2849
E01008705,1148
E01008831,2477
E01008834,1847
E01008810,1771
E01008811,1644
E01008813,1569
E01008814,1539
E01008757,1518
E01008758,1485
E01008759,1436
E01008761,1432
E01008702,1211
E01008735,1886
E01008736,1180
E01008737,1305
E01008738,1242
E01008836,1466
E01008845,1388
E01008846,1113
E01008847,1337
E01008850,2589
E01008851,1558
E01008760,1527
E01008830,1689
E01008832,1560
E01008833,1273
E01008843,1293
E01008844,1416
E01008848,1303
E01008849,1258
E01008852,1167
E01008867,1610
E01008868,1142
E01008869,1220
E01008870,1361
E01008871,1387
E01008872,1709
E01008729,1078
E01008730,1588
E01008731,1243
E01008732,2084
E01008733,1666
E01008734,1321
E01008740,1403
E01008781,1388
E01008782,1395
E01008783,1402
E01008784,1575
E01008785,1342
E01008835,1601
E01008823,1419
E01008824,1414
E01008825,1561
E01008826,1414
E01008827,1203
E01008828,1577
E01008829,1351
E01008739,1499
E01008741,1405
E01008779,1434
E01008780,1863
E01008799,1619
E01008861,1490
E01008862,1339
E01008863,1551
E01008864,1251
E01008865,1350
E01008866,1381
E01008773,1387
E01008776,1231
E01008777,1306
E01008778,1351
E01008809,1556
E01008803,1510
E01008804,1669
E01008805,1433
E01033077,1922
E01008763,1470
E01008764,1432
E01008766,2709
E01008768,1725
E01008769,1671
E01008772,1340
E01008774,1266
E01008775,1327
E01008802,1335
E01008808,1368
E01008793,1671
E01008795,1903
E01008797,2369
E01008800,1450
E01008801,1580
E01008765,1453
E01008767,1397
E01008770,1285
E01008771,1442
E01008720,1368
E01008721,1515
E01008796,1761
E01032483,1643
E01032484,1242
E01008750,2017
E01008751,1234
E01008752,1885
E01008753,1228
E01008755,1281
E01008714,1600
E01008715,1367
E01008716,1302
E01008717,1707
E01008749,1317
E01008754,1439
E01008718,1403
E01008719,1126
E01008742,1590
E01008747,1585
E01008748,1339
E01008743,1615
E01008744,1816
E01008745,1628
E01008746,2087
E06000008,148942
E01012607,1453
E01012608,2322
E01012633,1571
E01012634,1426
E01012635,1801
E01012636,1573
E01012581,1193
E01012582,1633
E01012583,1664
E01012587,2092
E01012588,2131
E01012574,1429
E01012577,1985
E01012578,1927
E01012605,2256
E01012606,1616
E01012579,1653
E01012580,2030
E01012642,1822
E01012645,2009
E01012585,1632
E01012586,1617
E01012656,1771
E01012657,2104
E01012658,1784
E01012629,1272
E01012631,1387
E01012643,1650
E01012644,2452
E01012655,2015
E01012571,1748
E01012572,1542
E01012573,1678
E01012575,1257
E01012630,2318
E01012576,1911
E01012637,1673
E01012638,1610
E01012639,1835
E01012640,1811
E01012641,1831
E01012595,2350
E01012596,1878
E01012622,1606
E01012623,1415
E01012624,1379
E01012625,1706
E01012584,1661
E01012609,1472
E01012610,1194
E01012611,1032
E01012612,1379
E01012613,1328
E01012600,1345
E01012601,1508
E01012602,1552
E01012603,1677
E01012604,1569
E01012632,2014
E01012594,1471
E01012618,1550
E01012619,1405
E01012620,1370
E01012621,1430
E01012593,1682
E01012597,1734
E01012598,3033
E01012599,1288
E01012589,1328
E01012590,1366
E01012591,1482
E01012648,1149
